city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target,target_label
0.6659999999999999,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,1.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.8270000000000001,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.855,5.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.55,1.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.893,5.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,3.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.855,9.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,2.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.92,15.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.7959999999999999,4.0,Part time course,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.884,15.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.866,1.0,Part time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,4.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.698,11.0,Full time course,No relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.913,4.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.91,3.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.92,3.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,1.0,Procurando novo emprego
0.682,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,10.0,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.802,9.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,2.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.579,2.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.802,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.55,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.55,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.878,21.0,No enrollment,No relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.92,11.0,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.91,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.897,9.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.91,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.754,21.0,No enrollment,Has relevent experience,Graduate,Other,Other,0.0,Não procurando emprego
0.855,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.949,4.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.624,2.0,Full time course,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.926,6.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.925,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.698,7.0,Full time course,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.8959999999999999,9.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,10.0,Part time course,Has relevent experience,Graduate,Funded Startup,Business Degree,0.0,Não procurando emprego
0.624,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.878,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.836,7.0,Full time course,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.693,11.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.855,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.92,15.0,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.893,21.0,No enrollment,No relevent experience,Phd,Public Sector,STEM,0.0,Não procurando emprego
0.926,12.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.804,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.6659999999999999,20.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.804,2.0,No enrollment,No relevent experience,High School,NGO,Non Degree,0.0,Não procurando emprego
0.624,3.0,No enrollment,No relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.92,3.0,No enrollment,No relevent experience,Masters,Pvt Ltd,Humanities,1.0,Procurando novo emprego
0.55,2.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,10.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.698,5.0,Full time course,No relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.624,8.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0,Não procurando emprego
0.92,9.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.866,21.0,No enrollment,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,21.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.769,14.0,No enrollment,Has relevent experience,Graduate,Other,No Major,0.0,Não procurando emprego
0.754,12.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.855,6.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,4.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.926,9.0,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.92,4.0,Full time course,Has relevent experience,High School,Other,Non Degree,1.0,Procurando novo emprego
0.92,21.0,No enrollment,No relevent experience,Phd,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,11.0,No enrollment,Has relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Masters,NGO,Arts,0.0,Não procurando emprego
0.624,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.91,15.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.925,14.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.926,6.0,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,13.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,No Major,0.0,Não procurando emprego
0.939,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Other,0.0,Não procurando emprego
0.804,6.0,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,18.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,15.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.698,21.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Arts,0.0,Não procurando emprego
0.754,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Public Sector,STEM,1.0,Procurando novo emprego
0.855,10.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.698,21.0,Other,Has relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.698,5.0,Part time course,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.91,3.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.878,2.0,Part time course,Has relevent experience,High School,NGO,Non Degree,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.949,21.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.92,9.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.7759999999999999,4.0,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.698,5.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.924,6.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.939,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.897,4.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.789,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.698,15.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.92,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,2.0,Full time course,No relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.91,13.0,Full time course,No relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.923,1.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.91,4.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.92,14.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,Humanities,0.0,Não procurando emprego
0.92,15.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.893,21.0,No enrollment,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.802,13.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.884,21.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.887,9.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,2.0,No enrollment,No relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.775,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,5.0,Full time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.903,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.55,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,2.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,Humanities,0.0,Não procurando emprego
0.92,21.0,Full time course,Has relevent experience,Graduate,Other,Business Degree,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,Other,0.0,Não procurando emprego
0.624,2.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,1.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.555,4.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,3.0,Full time course,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,4.0,No enrollment,No relevent experience,Primary School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.624,3.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.754,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,3.0,No enrollment,No relevent experience,Other,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.939,9.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,21.0,Part time course,No relevent experience,Phd,Other,STEM,0.0,Não procurando emprego
0.939,10.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,3.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.804,6.0,Other,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,2.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,21.0,Part time course,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.92,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.926,15.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.878,5.0,No enrollment,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.727,9.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,0.0,Não procurando emprego
0.91,2.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,13.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.754,9.0,Full time course,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.903,19.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.884,3.0,No enrollment,No relevent experience,Phd,Public Sector,STEM,0.0,Não procurando emprego
0.903,17.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,6.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.92,3.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,13.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.804,9.0,Full time course,Has relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.926,21.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.698,8.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.926,10.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,4.0,Full time course,Has relevent experience,Masters,NGO,STEM,0.0,Não procurando emprego
0.92,6.0,Part time course,No relevent experience,High School,Funded Startup,Non Degree,0.0,Não procurando emprego
0.92,9.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,15.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,NGO,STEM,0.0,Não procurando emprego
0.624,6.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,7.0,Full time course,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,3.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.893,2.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,Business Degree,0.0,Não procurando emprego
0.762,3.0,Part time course,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.836,14.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.6659999999999999,9.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.6659999999999999,21.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,1.0,Other,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.897,15.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.926,11.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.884,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,11.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,2.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.923,3.0,No enrollment,No relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,No enrollment,No relevent experience,High School,Other,Non Degree,1.0,Procurando novo emprego
0.92,14.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,5.0,No enrollment,No relevent experience,Primary School,Other,Non Degree,0.0,Não procurando emprego
0.624,1.0,No enrollment,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.923,1.0,No enrollment,No relevent experience,Primary School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.92,5.0,Part time course,Has relevent experience,Graduate,Public Sector,STEM,0.0,Não procurando emprego
0.91,21.0,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,10.0,No enrollment,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.926,7.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
